House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Allen Circle,John,Grant,43,Head,Married,Male,Operational investment banker,None,None
1,Allen Circle,Kim,Grant,37,Wife,Married,Female,Intelligence analyst,None,None
2,Allen Circle,Sally,Atkinson,44,Head,Single,Female,"Production designer, theatre/television/film",None,Christian
2,Allen Circle,Karl,Robertson,44,Partner,Single,Male,Paediatric nurse,None,Christian
2,Allen Circle,Tracy,Atkinson,24,Daughter,Single,Female,Child psychotherapist,None,Christian
2,Allen Circle,Howard,Atkinson,13,Son,NA,Male,Student,None,NA
3,Allen Circle,Catherine,Bradley,44,Head,Single,Female,Event organiser,None,Christian
3,Allen Circle,Owen,Davies,50,Partner,Single,Male,"Surveyor, commercial/residential",None,None
3,Allen Circle,Owen,Bradley,14,Adopted Son,NA,Male,Student,None,NA
3,Allen Circle,Neil,Bradley,10,Son,NA,Male,Student,None,NA
4,Allen Circle,Emily,Godfrey,29,Head,Single,Female,Unemployed,None,None
4,Allen Circle,Rita,Godfrey,0,Daughter,NA,Female,Child,None,NA
4,Allen Circle,Denis,Godfrey,0,Son,NA,Male,Child,None,NA
4,Allen Circle,Malcolm,Thomas,56,Lodger,Single,Male,Housing manager/officer,None,Christian
5,Allen Circle,Gillian,Ward,44,Head,Married,Female,Advice worker,None,Christian
5,Allen Circle,Lucy,Ward,46,Wife,Married,Female,International aid/development worker,None,Christian
5,Allen Circle,Max,Ward,11,Son,NA,Male,Student,None,NA
5,Allen Circle,Katherine,Ward,11,Daughter,NA,Female,Student,None,NA
6,Allen Circle,Beverley,Williamson,42,Head,Married,Female,Senior tax professional/tax inspector,None,Methodist
6,Allen Circle,Craig,Williamson,42,Husband,Married,Male,Research scientist (medical),None,Methodist
6,Allen Circle,Elaine,Williamson,4,Daughter,NA,Female,Child,None,NA
6,Allen Circle,Glenn,Williamson,1,Son,NA,Male,Child,None,NA
6,Allen Circle,June,Williamson,1,Daughter,NA,Female,Child,None,NA
7,Allen Circle,Kim,Simmons,57,Head,Single,Female,"Loss adjuster, chartered",None,Methodist
7,Allen Circle,Lewis,Griffin,58,Partner,Single,Male,Patent examiner,None,Methodist
7,Allen Circle,Guy,Simmons,14,Son,NA,Male,Student,None,NA
7,Allen Circle,Catherine,Simmons,12,Daughter,NA,Female,Student,None,NA
8,Allen Circle,Maureen,Taylor,59,Head,Single,Female,Cytogeneticist,None,Catholic
8,Allen Circle,Charles,Smith,65,Partner,Single,Male,Education administrator,None,Catholic
8,Allen Circle,Luke,Taylor,20,Son,Single,Male,University Student,None,Catholic
8,Allen Circle,Jason,Taylor,10,Son,NA,Male,Student,None,NA
9,Allen Circle,Shane,Cox,45,Head,Married,Male,Mechanical engineer,None,Christian
9,Allen Circle,Leah,Cox,42,Wife,Married,Female,Wellsite geologist,None,Christian
10,Allen Circle,Norman,Todd,57,Head,Single,Male,Unemployed,None,Christian
10,Allen Circle,Helen,Todd,39,Daughter,Widowed,Female,Exhibition designer,None,Christian
10,Allen Circle,Danielle,Todd,34,Daughter,Single,Female,Civil Service fast streamer,None,None
10,Allen Circle,Mohammad,Todd,31,Son,Single,Male,"Accountant, chartered public finance",None,None
10,Allen Circle,Mohammed,Todd,28,Son,Single,Male,Restaurant manager,None,Christian
11,Allen Circle,Sophie,Mahmood,50,Head,Divorced,Female,"Surveyor, building",None,Jewish
11,Allen Circle,Melissa,Mahmood,24,Daughter,Single,Female,Passenger transport manager,None,Jewish
11,Allen Circle,Joan,Mahmood,21,Daughter,Single,Female,University Student,None,Jewish
12,Allen Circle,Helen,Hall,43,Head,Single,Female,Product designer,None,Christian
12,Allen Circle,Neil,Hall,12,Son,NA,Male,Student,None,NA
12,Allen Circle,Abbie,Hall,9,Daughter,NA,Female,Student,None,NA
